Person,Emotion,Confidence,Time
person1,happy,0.819020987,5/17/2026 20:35
person1,sad,0.368673056,5/17/2026 20:35
person1,happy,0.86618638,5/17/2026 20:35
person1,sad,0.482307702,5/17/2026 20:35
person1,happy,0.417861581,5/17/2026 20:35
person1,sad,0.461107194,5/17/2026 20:35
person1,happy,0.616698921,5/17/2026 20:35
person1,sad,0.325047761,5/17/2026 20:35
person1,fear,0.78942275,5/17/2026 20:35
person1,sad,0.48365584,5/17/2026 20:35
person1,neutral,0.954159856,5/17/2026 20:35
person1,angry,0.782054067,5/17/2026 20:35
person1,happy,0.30686143,5/17/2026 20:35
person1,neutral,0.708492219,5/17/2026 20:35
person1,happy,0.517510653,5/17/2026 20:35
person1,neutral,0.87899226,5/17/2026 20:35
person1,happy,0.572939813,5/17/2026 20:35
person1,neutral,0.529463887,5/17/2026 20:35
person1,happy,0.340597749,5/17/2026 20:35
person1,neutral,0.54103893,5/17/2026 20:35
person1,happy,0.444926053,5/17/2026 20:35
person1,neutral,0.407553107,5/17/2026 20:35
person1,happy,0.58947444,5/17/2026 20:35
person1,neutral,0.696357131,5/17/2026 20:35
person1,angry,0.505630016,5/17/2026 20:35
person1,neutral,0.397490889,5/17/2026 20:35
person1,sad,0.279843539,5/17/2026 20:35
person1,neutral,0.48202756,5/17/2026 20:35
person1,sad,0.676050663,5/17/2026 20:35
person1,angry,0.38969779,5/17/2026 20:35
person1,sad,0.585602403,5/17/2026 20:35
person1,happy,0.655574322,5/17/2026 20:35
person1,sad,0.46034655,5/17/2026 20:35
person1,happy,0.607811034,5/17/2026 20:35
person1,sad,0.762316406,5/17/2026 20:35
person1,fear,0.344784826,5/17/2026 20:35
person1,sad,0.633888662,5/17/2026 20:35
person1,neutral,0.573461056,5/17/2026 20:35
person1,sad,0.85394907,5/17/2026 20:35
person1,neutral,0.401218385,5/17/2026 20:35
person1,sad,0.290348619,5/17/2026 20:35
person1,neutral,0.548537195,5/17/2026 20:35
person1,happy,0.898622334,5/17/2026 20:35
person1,neutral,0.529789448,5/17/2026 20:35
person1,fear,0.465670288,5/17/2026 20:35
person1,neutral,0.709178925,5/17/2026 20:35
person1,happy,0.462674916,5/17/2026 20:35
person1,neutral,0.722217202,5/17/2026 20:35
person1,angry,0.864819765,5/17/2026 20:35
person1,happy,0.85337317,5/17/2026 20:35
person1,sad,0.702498019,5/17/2026 20:35
person1,angry,0.889159977,5/17/2026 20:35
person1,sad,0.427314103,5/17/2026 20:35
person1,angry,0.937750399,5/17/2026 20:35
person1,sad,0.370691836,5/17/2026 20:35
person1,happy,0.467547596,5/17/2026 20:35
person1,sad,0.527355731,5/17/2026 20:35
person1,neutral,0.561269045,5/17/2026 20:35
person1,sad,0.555926859,5/17/2026 20:35
person1,happy,0.314965457,5/17/2026 20:35
person1,angry,0.485323161,5/17/2026 20:35
person1,sad,0.303338319,5/17/2026 20:35
person1,angry,0.384003788,5/17/2026 20:35
person1,fear,0.354895353,5/17/2026 20:35
person1,sad,0.684888721,5/17/2026 20:35
person1,neutral,0.529389679,5/17/2026 20:35
person1,sad,0.458617687,5/17/2026 20:35
person1,happy,0.946563125,5/17/2026 20:35
person1,neutral,0.54230845,5/17/2026 20:35
person1,happy,0.591499686,5/17/2026 20:35
person1,sad,0.303626418,5/17/2026 20:35
person1,neutral,0.9678545,5/17/2026 20:35
person1,angry,0.418660998,5/17/2026 20:35
person1,sad,0.398849756,5/17/2026 20:35
person1,angry,0.856872618,5/17/2026 20:35
person1,happy,0.794150293,5/17/2026 20:35
person1,angry,0.661651194,5/17/2026 20:35
person1,neutral,0.974150896,5/17/2026 20:35
person1,sad,0.506656229,5/17/2026 20:35
person1,happy,0.341951519,5/17/2026 20:35
person1,angry,0.665371656,5/17/2026 20:35
